# DC ODMR, one dec-1024 buffer per point, 2026-07-16T12:37:54, power_dBm=16.0, fs_Hz=122070.3
freq_MHz,V_2ms,V_8ms,V_20ms,V_100ms
2860.3000,0.1554007,0.1554382,0.1554413,0.1555196
2860.4000,0.1555285,0.1555353,0.1555249,0.1554601
2860.5000,0.1553887,0.1553660,0.1553470,0.1554544
2860.6000,0.1554965,0.1555047,0.1555150,0.1554766
2860.7000,0.1553385,0.1553677,0.1553712,0.1554057
2860.8000,0.1554945,0.1554874,0.1554929,0.1554179
2860.9000,0.1554033,0.1553787,0.1554409,0.1554666
2861.0000,0.1553541,0.1553618,0.1553586,0.1554498
2861.1000,0.1554418,0.1554693,0.1554451,0.1554177
2861.2000,0.1553370,0.1553652,0.1554060,0.1554666
2861.3000,0.1553330,0.1553318,0.1553504,0.1554508
2861.4000,0.1554619,0.1554491,0.1554596,0.1554075
2861.5000,0.1553370,0.1553187,0.1553190,0.1554262
2861.6000,0.1553169,0.1553071,0.1553062,0.1553734
2861.7000,0.1553877,0.1554079,0.1554082,0.1553120
2861.8000,0.1552111,0.1552212,0.1553118,0.1553673
2861.9000,0.1552116,0.1552164,0.1552001,0.1553103
2862.0000,0.1553239,0.1553182,0.1552978,0.1552084
2862.1000,0.1552156,0.1552115,0.1552205,0.1552754
2862.2000,0.1552532,0.1552494,0.1552512,0.1552340
2862.3000,0.1551015,0.1550888,0.1550784,0.1551768
2862.4000,0.1551710,0.1551628,0.1551413,0.1551788
2862.5000,0.1552507,0.1552407,0.1552462,0.1551385
2862.6000,0.1550545,0.1550371,0.1550534,0.1550647
2862.7000,0.1550625,0.1550613,0.1550719,0.1551231
2862.8000,0.1552111,0.1551916,0.1551797,0.1550939
2862.9000,0.1550950,0.1551114,0.1550928,0.1550994
2863.0000,0.1550250,0.1550578,0.1550498,0.1551512
2863.1000,0.1551675,0.1551713,0.1551898,0.1550961
2863.2000,0.1549610,0.1549689,0.1549656,0.1549776
2863.3000,0.1550405,0.1550319,0.1550332,0.1550183
2863.4000,0.1551135,0.1550888,0.1550372,0.1549651
2863.5000,0.1549630,0.1549637,0.1549606,0.1549972
2863.6000,0.1551125,0.1550710,0.1550669,0.1550265
2863.7000,0.1548955,0.1548792,0.1548748,0.1548898
2863.8000,0.1548780,0.1548864,0.1548680,0.1548812
2863.9000,0.1549455,0.1549297,0.1549486,0.1548286
2864.0000,0.1548155,0.1548052,0.1548063,0.1547903
2864.1000,0.1547380,0.1547463,0.1547560,0.1547480
2864.2000,0.1547445,0.1547413,0.1547532,0.1547089
2864.3000,0.1546685,0.1546550,0.1546559,0.1546591
2864.4000,0.1545835,0.1545838,0.1546106,0.1546159
2864.5000,0.1547605,0.1547337,0.1546691,0.1545655
2864.6000,0.1544825,0.1545045,0.1544943,0.1544998
2864.7000,0.1545380,0.1545328,0.1544983,0.1544184
2864.8000,0.1544355,0.1544129,0.1544056,0.1543895
2864.9000,0.1542990,0.1543154,0.1543203,0.1542969
2865.0000,0.1543040,0.1543015,0.1543102,0.1542436
2865.1000,0.1541235,0.1541226,0.1541479,0.1541397
2865.2000,0.1541590,0.1541589,0.1541524,0.1541286
2865.3000,0.1540945,0.1540881,0.1541044,0.1541170
2865.4000,0.1541185,0.1541109,0.1541094,0.1541082
2865.5000,0.1540500,0.1540602,0.1540751,0.1540786
2865.6000,0.1539990,0.1540127,0.1540322,0.1540247
2865.7000,0.1540075,0.1540147,0.1540198,0.1540181
2865.8000,0.1539560,0.1539452,0.1539649,0.1539555
2865.9000,0.1539075,0.1539076,0.1539067,0.1539236
2866.0000,0.1539410,0.1539392,0.1539658,0.1538974
2866.1000,0.1538470,0.1538467,0.1538521,0.1538403
2866.2000,0.1538170,0.1538553,0.1538539,0.1538175
2866.3000,0.1537549,0.1537605,0.1537665,0.1537574
2866.4000,0.1536807,0.1536716,0.1536756,0.1536604
2866.5000,0.1536591,0.1536530,0.1536374,0.1536120
2866.6000,0.1535999,0.1535848,0.1535655,0.1535803
2866.7000,0.1535622,0.1535753,0.1535640,0.1535456
2866.8000,0.1535246,0.1535087,0.1535186,0.1534915
2866.9000,0.1534165,0.1534249,0.1534183,0.1534213
2867.0000,0.1534275,0.1534315,0.1534221,0.1534241
2867.1000,0.1534090,0.1534309,0.1534275,0.1533625
2867.2000,0.1532770,0.1533231,0.1533402,0.1533139
2867.3000,0.1533100,0.1532999,0.1533006,0.1533191
2867.4000,0.1533580,0.1533430,0.1533345,0.1533181
2867.5000,0.1533585,0.1533732,0.1533765,0.1533826
2867.6000,0.1533880,0.1533808,0.1534021,0.1533850
2867.7000,0.1534140,0.1534384,0.1534497,0.1534309
2867.8000,0.1534345,0.1534629,0.1534671,0.1534677
2867.9000,0.1534740,0.1534623,0.1534566,0.1534803
2868.0000,0.1535482,0.1535173,0.1535177,0.1534936
2868.1000,0.1535683,0.1535812,0.1535614,0.1535478
2868.2000,0.1535517,0.1535199,0.1535262,0.1535853
2868.3000,0.1536149,0.1536204,0.1536282,0.1536634
2868.4000,0.1537174,0.1537042,0.1537147,0.1537244
2868.5000,0.1536937,0.1537002,0.1537036,0.1538038
2868.6000,0.1539025,0.1538671,0.1538620,0.1538839
2868.7000,0.1539615,0.1539394,0.1539581,0.1539856
2868.8000,0.1539965,0.1540031,0.1540112,0.1540752
2868.9000,0.1542810,0.1542600,0.1542245,0.1542686
2869.0000,0.1543450,0.1543411,0.1543645,0.1544680
2869.1000,0.1545030,0.1544868,0.1544882,0.1545407
2869.2000,0.1546015,0.1545891,0.1546299,0.1546918
2869.3000,0.1546725,0.1546785,0.1546929,0.1547492
2869.4000,0.1548520,0.1548722,0.1548902,0.1549033
2869.5000,0.1549315,0.1549100,0.1549209,0.1548711
2869.6000,0.1549480,0.1549452,0.1549476,0.1549347
2869.7000,0.1548275,0.1548573,0.1548695,0.1548755
2869.8000,0.1548785,0.1548610,0.1548474,0.1547961
2869.9000,0.1548760,0.1548552,0.1548289,0.1548141
2870.0000,0.1545950,0.1545706,0.1546649,0.1546886
2870.1000,0.1546555,0.1546621,0.1546253,0.1545654
2870.2000,0.1543715,0.1543708,0.1543897,0.1544785
2870.3000,0.1542015,0.1542349,0.1542109,0.1542993
2870.4000,0.1543400,0.1543247,0.1542958,0.1542217
2870.5000,0.1539670,0.1539762,0.1540039,0.1539973
2870.6000,0.1538640,0.1538622,0.1539042,0.1539128
2870.7000,0.1539115,0.1539451,0.1539221,0.1538516
2870.8000,0.1537719,0.1537642,0.1537541,0.1537431
2870.9000,0.1536682,0.1536840,0.1536897,0.1536812
2871.0000,0.1536551,0.1536580,0.1536657,0.1535945
2871.1000,0.1534420,0.1534778,0.1534840,0.1534956
2871.2000,0.1534580,0.1534643,0.1534851,0.1534637
2871.3000,0.1535006,0.1534741,0.1534551,0.1534398
2871.4000,0.1534385,0.1534310,0.1534344,0.1534303
2871.5000,0.1534285,0.1534292,0.1534019,0.1533480
2871.6000,0.1532465,0.1532346,0.1532713,0.1532849
2871.7000,0.1532645,0.1532793,0.1532661,0.1532880
2871.8000,0.1533345,0.1533214,0.1533170,0.1532583
2871.9000,0.1532095,0.1532380,0.1532371,0.1532312
2872.0000,0.1532195,0.1532262,0.1532288,0.1532568
2872.1000,0.1533530,0.1533101,0.1532836,0.1532804
2872.2000,0.1533230,0.1533371,0.1533472,0.1533563
2872.3000,0.1533950,0.1533982,0.1533903,0.1533642
2872.4000,0.1533635,0.1533670,0.1533565,0.1534043
2872.5000,0.1534335,0.1534382,0.1534292,0.1534598
2872.6000,0.1535282,0.1535219,0.1535277,0.1535062
2872.7000,0.1535126,0.1534925,0.1534977,0.1535138
2872.8000,0.1535974,0.1535976,0.1535813,0.1535769
2872.9000,0.1536611,0.1536800,0.1536803,0.1536703
2873.0000,0.1536531,0.1536430,0.1536547,0.1537018
2873.1000,0.1537319,0.1537364,0.1537361,0.1537736
2873.2000,0.1537369,0.1537539,0.1537569,0.1537579
2873.3000,0.1537945,0.1537621,0.1537648,0.1538176
2873.4000,0.1538935,0.1538726,0.1538699,0.1539103
2873.5000,0.1539470,0.1539495,0.1539445,0.1539840
2873.6000,0.1540590,0.1540811,0.1540593,0.1539924
2873.7000,0.1539760,0.1539554,0.1539338,0.1539367
2873.8000,0.1539380,0.1539286,0.1539183,0.1539600
2873.9000,0.1539865,0.1540264,0.1540530,0.1539673
2874.0000,0.1539435,0.1539502,0.1539497,0.1540138
2874.1000,0.1540200,0.1539989,0.1540025,0.1540745
2874.2000,0.1541295,0.1541231,0.1541318,0.1540968
2874.3000,0.1541175,0.1541082,0.1541313,0.1541839
2874.4000,0.1541340,0.1541415,0.1541319,0.1542179
2874.5000,0.1542740,0.1542710,0.1542522,0.1542522
2874.6000,0.1542915,0.1542903,0.1543611,0.1544086
2874.7000,0.1544825,0.1544731,0.1544922,0.1544876
2874.8000,0.1544255,0.1544366,0.1544404,0.1544600
2874.9000,0.1546050,0.1546298,0.1546357,0.1546178
2875.0000,0.1545480,0.1545911,0.1545978,0.1546145
2875.1000,0.1546260,0.1546092,0.1546011,0.1546305
2875.2000,0.1547035,0.1546725,0.1546634,0.1546584
2875.3000,0.1546775,0.1547162,0.1547139,0.1546819
2875.4000,0.1546185,0.1546184,0.1546448,0.1546803
2875.5000,0.1547395,0.1547587,0.1547712,0.1547750
2875.6000,0.1548065,0.1547925,0.1548049,0.1548024
2875.7000,0.1548455,0.1548107,0.1547896,0.1548122
2875.8000,0.1547335,0.1547247,0.1547691,0.1547949
2875.9000,0.1548900,0.1548718,0.1548854,0.1548626
2876.0000,0.1547860,0.1548260,0.1548139,0.1548596
2876.1000,0.1549110,0.1548985,0.1548764,0.1548832
2876.2000,0.1548940,0.1548648,0.1549047,0.1549049
2876.3000,0.1549260,0.1548994,0.1548939,0.1549098
2876.4000,0.1549785,0.1549716,0.1549576,0.1549569
2876.5000,0.1549595,0.1549375,0.1549602,0.1549840
2876.6000,0.1550410,0.1550263,0.1550193,0.1550208
2876.7000,0.1549945,0.1550318,0.1550166,0.1550142
2876.8000,0.1550180,0.1550057,0.1549918,0.1550200
2876.9000,0.1550880,0.1550504,0.1550796,0.1550790
2877.0000,0.1550450,0.1550586,0.1550811,0.1550692
2877.1000,0.1550470,0.1550507,0.1550589,0.1550326
2877.2000,0.1550460,0.1550494,0.1550451,0.1550433
2877.3000,0.1550720,0.1550855,0.1550765,0.1550934
2877.4000,0.1551135,0.1551161,0.1550846,0.1550912
2877.5000,0.1550735,0.1550681,0.1550714,0.1550640
2877.6000,0.1550540,0.1550575,0.1550831,0.1550829
2877.7000,0.1551000,0.1550683,0.1550890,0.1551108
2877.8000,0.1551310,0.1551613,0.1551551,0.1551350
2877.9000,0.1551685,0.1551429,0.1551407,0.1551507
2878.0000,0.1551465,0.1551648,0.1551679,0.1551355
2878.1000,0.1551205,0.1551343,0.1551305,0.1551278
2878.2000,0.1551235,0.1551370,0.1551349,0.1551535
2878.3000,0.1552021,0.1551464,0.1551253,0.1551405
2878.4000,0.1550940,0.1551147,0.1551218,0.1551233
2878.5000,0.1550955,0.1551153,0.1551327,0.1551371
2878.6000,0.1551415,0.1551328,0.1551172,0.1551203
2878.7000,0.1550790,0.1550707,0.1550873,0.1551553
2878.8000,0.1551590,0.1551865,0.1552041,0.1551911
2878.9000,0.1551846,0.1551945,0.1551952,0.1552012
2879.0000,0.1552337,0.1552232,0.1552956,0.1552262
2879.1000,0.1552332,0.1552462,0.1552418,0.1552289
2879.2000,0.1551731,0.1551919,0.1552010,0.1552321
2879.3000,0.1552557,0.1552455,0.1552428,0.1552421
2879.4000,0.1552663,0.1552911,0.1553109,0.1553157
2879.5000,0.1553400,0.1553725,0.1553207,0.1552835
2879.6000,0.1552497,0.1552363,0.1552550,0.1553261
2879.7000,0.1552999,0.1553071,0.1552772,0.1552711
2879.8000,0.1553390,0.1553242,0.1553254,0.1552955
2879.9000,0.1553475,0.1553535,0.1553282,0.1553910
2880.0000,0.1553129,0.1553084,0.1553050,0.1553739
2880.1000,0.1554483,0.1554256,0.1553895,0.1552822
2880.2000,0.1552838,0.1553049,0.1552861,0.1553259
2880.3000,0.1554218,0.1554269,0.1554274,0.1553367
2880.4000,0.1552607,0.1552862,0.1552950,0.1553718
2880.5000,0.1553988,0.1554399,0.1554201,0.1554278
2880.6000,0.1553526,0.1553398,0.1553501,0.1554293
2880.7000,0.1554749,0.1554618,0.1554697,0.1553680
2880.8000,0.1552853,0.1552886,0.1552785,0.1553504
2880.9000,0.1554393,0.1554191,0.1554087,0.1553881
2881.0000,0.1552798,0.1552983,0.1553006,0.1553979
2881.1000,0.1554849,0.1554814,0.1554446,0.1554369
2881.2000,0.1553771,0.1553952,0.1554136,0.1555298
2881.3000,0.1554268,0.1554323,0.1554127,0.1555021
2881.4000,0.1555270,0.1555589,0.1555610,0.1555124
2881.5000,0.1554544,0.1554502,0.1554423,0.1554963
2881.6000,0.1554789,0.1554602,0.1554741,0.1554296
2881.7000,0.1554068,0.1554303,0.1554456,0.1555229
2881.8000,0.1555690,0.1555583,0.1555262,0.1554625
2881.9000,0.1553871,0.1554464,0.1554886,0.1555193
2882.0000,0.1555345,0.1555205,0.1555059,0.1554647
2882.1000,0.1554383,0.1554115,0.1554278,0.1555114
2882.2000,0.1554207,0.1554053,0.1553912,0.1554795
2882.3000,0.1554549,0.1554946,0.1555108,0.1554899
2882.4000,0.1555225,0.1555222,0.1554876,0.1554823
2882.5000,0.1555435,0.1555198,0.1555628,0.1555751
2882.6000,0.1554393,0.1555205,0.1555515,0.1555569
2882.7000,0.1555490,0.1555651,0.1555734,0.1555107
2882.8000,0.1553907,0.1553907,0.1554626,0.1555279
2882.9000,0.1554599,0.1554809,0.1555234,0.1555454
2883.0000,0.1555815,0.1555902,0.1555860,0.1554934
2883.1000,0.1554323,0.1554675,0.1554822,0.1555448
2883.2000,0.1555890,0.1555417,0.1555252,0.1555022
2883.3000,0.1554178,0.1554170,0.1554658,0.1555156
2883.4000,0.1555815,0.1555601,0.1555425,0.1555047
2883.5000,0.1554408,0.1554255,0.1555010,0.1555310
2883.6000,0.1554639,0.1554777,0.1555060,0.1555191
2883.7000,0.1555385,0.1555051,0.1554941,0.1554703
2883.8000,0.1553902,0.1553624,0.1553722,0.1554400
2883.9000,0.1554789,0.1554723,0.1555316,0.1555211
2884.0000,0.1555214,0.1555119,0.1555181,0.1554949
2884.1000,0.1554478,0.1554480,0.1555161,0.1555581
2884.2000,0.1554649,0.1555324,0.1555409,0.1555527
2884.3000,0.1555600,0.1555374,0.1555315,0.1554837
2884.4000,0.1554523,0.1554311,0.1554458,0.1555421
2884.5000,0.1554348,0.1554567,0.1554895,0.1555228
2884.6000,0.1555780,0.1555507,0.1555427,0.1555636
2884.7000,0.1554098,0.1554142,0.1554412,0.1555475
2884.8000,0.1555875,0.1556109,0.1555959,0.1555890
2884.9000,0.1555905,0.1556384,0.1556244,0.1556195
2885.0000,0.1556380,0.1556356,0.1556327,0.1555638
2885.1000,0.1556380,0.1556355,0.1556226,0.1556115
2885.2000,0.1555990,0.1555918,0.1556199,0.1556171
2885.3000,0.1556235,0.1556517,0.1556573,0.1556156
2885.4000,0.1555800,0.1556406,0.1556379,0.1556711
2885.5000,0.1556245,0.1556578,0.1556513,0.1556319
2885.6000,0.1556580,0.1556419,0.1556191,0.1556136
2885.7000,0.1557425,0.1557420,0.1557296,0.1557108
2885.8000,0.1555220,0.1555608,0.1556275,0.1556800
2885.9000,0.1557265,0.1557159,0.1556886,0.1556698
2886.0000,0.1557350,0.1557195,0.1556729,0.1557074
2886.1000,0.1557585,0.1557324,0.1557444,0.1557418
2886.2000,0.1557745,0.1557290,0.1557273,0.1557339
2886.3000,0.1557185,0.1557460,0.1557663,0.1557654
2886.4000,0.1557820,0.1557941,0.1557982,0.1557789
2886.5000,0.1558100,0.1557956,0.1557723,0.1557028
2886.6000,0.1556785,0.1557235,0.1557080,0.1557124
2886.7000,0.1558010,0.1558184,0.1558230,0.1558045
2886.8000,0.1558170,0.1557854,0.1557711,0.1557482
2886.9000,0.1557395,0.1557282,0.1557481,0.1557348
2887.0000,0.1558050,0.1558117,0.1557999,0.1557770
2887.1000,0.1557485,0.1557686,0.1557543,0.1557553
2887.2000,0.1558990,0.1558500,0.1558406,0.1557889
2887.3000,0.1557265,0.1557375,0.1557523,0.1557518
