# self-oscillation statistics, 2026-07-10T14:34:53, gain=2.3, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04
cycle,t_s,f_MHz,R_V
141,58.2621,2862.735813,8.59811101e-05
142,58.6967,2862.782314,9.94252197e-05
143,59.0532,2862.567569,1.11141519e-04
144,59.4403,2862.785688,9.17285320e-05
145,59.8437,2862.475262,1.15432584e-04
146,60.2297,2862.667249,9.29005303e-05
147,60.6582,2864.014020,4.11111531e-05
148,61.0565,2861.613784,2.09155723e-04
149,61.4977,2860.977394,1.30051273e-04
150,61.8929,2862.053471,5.32511658e-05
151,62.2473,2862.554239,7.90524010e-05
152,62.6788,2863.328690,6.67783616e-05
153,63.0775,2862.038664,1.59365368e-04
154,63.4664,2862.687951,7.23917041e-05
155,63.8622,2863.861721,4.88698243e-05
156,64.2617,2861.793962,1.94244901e-04
157,64.6497,2862.563803,6.69850936e-05
158,65.0994,2863.791319,4.64594511e-05
159,65.4977,2861.773549,1.92002994e-04
160,65.8946,2862.508510,6.85494043e-05
161,66.3319,2862.835295,8.68551678e-05
162,66.7489,2862.527996,1.15292339e-04
163,67.1379,2862.576233,9.93473739e-05
164,67.5434,2862.617575,9.96565983e-05
165,67.9346,2862.621973,1.01313436e-04
166,68.3585,2863.178812,7.65377622e-05
167,68.7614,2862.083782,1.50620247e-04
168,69.1482,2862.661858,7.55853345e-05
169,69.5945,2864.459663,2.08833098e-05
170,69.9811,2861.590641,2.30179691e-04
171,70.3958,2862.428085,6.39532608e-05
172,70.8321,2864.194654,2.22841857e-05
173,71.1851,2861.593914,2.18147834e-04
174,71.6245,2861.340443,1.12878325e-04
175,72.0145,2862.362094,5.56919902e-05
176,72.3990,2862.773138,8.30763346e-05
177,72.8262,2862.921210,9.48699897e-05
178,73.2156,2862.445196,1.22858847e-04
179,73.6306,2862.633383,9.30709466e-05
180,74.0642,2864.234146,2.97201768e-05
181,74.4500,2861.611679,2.19122254e-04
182,74.8615,2862.540716,5.98455577e-05
183,75.2992,2863.981765,3.68829703e-05
184,75.7126,2861.503032,2.12676152e-04
185,76.0999,2862.390228,6.17219911e-05
186,76.4879,2862.990537,7.45882391e-05
187,76.8409,2862.192046,1.37321135e-04
188,77.2810,2862.344519,9.46726467e-05
189,77.6662,2862.769546,8.24492469e-05
190,78.0996,2862.981685,9.19967199e-05
191,78.5148,2862.380762,1.28460705e-04
192,78.9421,2862.227352,1.08390789e-04
193,79.3431,2862.752993,7.79369008e-05
194,79.6905,2862.393041,1.17653733e-04
195,80.1306,2863.087582,7.03621247e-05
196,80.5304,2862.244939,1.39301277e-04
197,80.9645,2863.313394,5.35929982e-05
198,81.3607,2862.108381,1.55552726e-04
199,81.7591,2862.613242,7.88688396e-05
200,82.1983,2862.921895,8.76683343e-05
201,82.5924,2862.486595,1.21032862e-04
202,82.9951,2862.674061,9.31033049e-05
203,83.4280,2863.243362,7.59788514e-05
204,83.8306,2862.180093,1.49195835e-04
205,84.2303,2862.765289,7.52660541e-05
206,84.6609,2863.377134,7.40708234e-05
207,85.0496,2862.003360,1.63121301e-04
208,85.4924,2862.539726,7.74559235e-05
209,85.8913,2862.714090,9.36908787e-05
210,86.2946,2862.631544,1.05212665e-04
211,86.7316,2862.624002,1.01848935e-04
212,87.0943,2862.592096,1.02941631e-04
213,87.4946,2862.683822,9.73969776e-05
214,87.9150,2864.680261,1.19750485e-05
215,88.3135,2861.733891,2.33648573e-04
216,88.7110,2862.520123,6.62500096e-05
217,89.1484,2863.164942,7.25920526e-05
218,89.5128,2862.120768,1.48339486e-04
219,89.9171,2862.652784,7.76510213e-05
220,90.3771,2863.335100,7.09103768e-05
221,90.7750,2862.081341,1.57738902e-04
222,91.1759,2862.651588,7.59364105e-05
223,91.6116,2864.115217,3.58703544e-05
224,92.0163,2861.612858,2.13735670e-04
225,92.4103,2862.567873,5.86805254e-05
226,92.8473,2863.182626,7.39404175e-05
227,93.2637,2862.266998,1.42574518e-04
228,93.6778,2862.721027,8.11485138e-05
229,94.0560,2864.198207,3.52625973e-05
230,94.4592,2861.545616,2.20473269e-04
231,94.9130,2860.944898,1.28451483e-04
232,95.3101,2862.199270,4.52550322e-05
233,95.7090,2862.693937,7.93260268e-05
234,96.1635,2862.953463,8.98715867e-05
235,96.5580,2862.444964,1.24315661e-04
236,96.9447,2862.470878,1.00348548e-04
237,97.2928,2862.749052,8.90352338e-05
238,97.6819,2862.539286,1.10918179e-04
239,98.1280,2863.907216,4.01622170e-05
240,98.4727,2861.725345,1.99362547e-04
241,98.9241,2861.887866,9.42220390e-05
242,99.3162,2862.590019,7.00207352e-05
243,99.7147,2862.625497,9.99196048e-05
244,100.1590,2864.500409,1.74252260e-05
245,100.5026,2861.600321,2.31572926e-04
