# self-oscillation gain scan, 2026-07-10T14:34:53, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04, gamma_MHz_per_mT=28.024
gain,cycle,t_s,f_MHz,R_V
0.6,118,48.4887,2867.803621,9.08115134e-05
0.6,119,48.8874,2867.801975,1.01793559e-04
0.6,120,49.3384,2867.953765,7.54156082e-05
0.6,121,49.7341,2867.746524,1.37138702e-04
0.6,122,50.1595,2867.685924,1.11928841e-04
0.6,123,50.5571,2867.850869,7.31540523e-05
0.6,124,50.9715,2867.760851,1.16986252e-04
0.6,125,51.4012,2867.762322,1.01257809e-04
0.6,126,51.7480,2867.818146,9.19136060e-05
0.6,127,52.1564,2867.799687,1.04684029e-04
0.6,128,52.5873,2867.837936,9.49350753e-05
0.6,129,52.9717,2867.768630,1.13425620e-04
0.6,130,53.3704,2867.811390,9.41595997e-05
0.6,131,53.8057,2867.876678,9.02866138e-05
0.6,132,54.2211,2867.749483,1.23377474e-04
0.6,133,54.6748,2867.761863,9.93824995e-05
0.6,134,55.0891,2867.808582,9.34788580e-05
0.6,135,55.4743,2867.775505,1.07197093e-04
0.6,136,55.9062,2868.036273,5.66805913e-05
0.6,137,56.2904,2867.728727,1.54382697e-04
0.6,138,56.7029,2867.852911,8.01615737e-05
0.6,139,57.1243,2867.940977,8.63707242e-05
0.6,140,57.5242,2867.680330,1.46320165e-04
0.6,141,57.9165,2867.834474,7.50107431e-05
0.6,142,58.2630,2867.746344,1.16661748e-04
0.6,143,58.6578,2867.826925,8.76574829e-05
0.6,144,59.0837,2867.969261,7.70407868e-05
0.6,145,59.4888,2867.757665,1.37887561e-04
0.6,146,59.9247,2868.181488,2.86485844e-05
0.6,147,60.3393,2867.740317,1.77355106e-04
0.6,148,60.7509,2867.796872,9.17880347e-05
0.6,149,61.1836,2868.062712,5.58084364e-05
0.6,150,61.5741,2867.692245,1.65200023e-04
0.6,151,62.0204,2867.655694,1.07794395e-04
0.6,152,62.3636,2867.847672,6.85064960e-05
0.6,153,62.7665,2867.782028,1.12796050e-04
0.6,154,63.2048,2867.750233,1.06976702e-04
0.6,155,63.6016,2867.817721,8.99084200e-05
0.6,156,64.0211,2867.829222,9.95334855e-05
0.6,157,64.4080,2867.814654,1.04015186e-04
0.6,158,64.8214,2867.773245,1.08629559e-04
0.6,159,65.2521,2867.789786,9.86670994e-05
0.6,160,65.6399,2867.826402,9.52157703e-05
0.6,161,66.0698,2868.313976,1.76889432e-05
0.6,162,66.4664,2867.745877,1.99176045e-04
0.6,163,66.8679,2867.800591,9.21045296e-05
0.6,164,67.3000,2867.926500,7.98648945e-05
0.6,165,67.6895,2867.744523,1.32795380e-04
0.6,166,68.0862,2867.828530,8.70686013e-05
0.6,167,68.5393,2868.034754,6.60573670e-05
0.6,168,68.9392,2867.717672,1.56022260e-04
0.6,169,69.3384,2867.837788,8.08608951e-05
0.6,170,69.7582,2868.183820,4.20222340e-05
0.6,171,70.1711,2867.716648,1.81824944e-04
0.6,172,70.5683,2867.813565,8.48492137e-05
0.6,173,70.9897,2867.993131,7.06402896e-05
0.6,174,71.3873,2867.728943,1.46928959e-04
0.6,175,71.7731,2867.818046,8.61925196e-05
0.6,176,72.2001,2867.926082,8.29374550e-05
0.6,177,72.5906,2867.723595,1.36321476e-04
0.6,178,72.9886,2867.814605,8.58645660e-05
0.6,179,73.4063,2867.891832,8.82342116e-05
0.6,180,73.8019,2867.733116,1.28796504e-04
0.6,181,74.2407,2867.772294,9.47753639e-05
0.6,182,74.6560,2867.818044,9.36455983e-05
0.6,183,75.0993,2867.975682,7.44101900e-05
0.6,184,75.5024,2867.754618,1.39515063e-04
0.6,185,75.9327,2867.674947,1.15207432e-04
0.6,186,76.3252,2867.860683,6.95797586e-05
0.6,187,76.7664,2868.288310,2.79947169e-05
0.6,188,77.1569,2867.756357,1.92961899e-04
0.6,189,77.6068,2868.046188,5.16842344e-05
0.6,190,78.0221,2867.717706,1.57981967e-04
0.6,191,78.4651,2867.751690,9.56682293e-05
0.6,192,78.8567,2867.800732,9.30796151e-05
0.6,193,79.2906,2868.164108,3.90406256e-05
0.6,194,79.6866,2867.713918,1.78905463e-04
0.6,195,80.0862,2867.842192,7.94583099e-05
0.6,196,80.5221,2868.079492,6.07151021e-05
0.6,197,80.9368,2867.742081,1.59517107e-04
0.6,198,81.2903,2867.806854,9.03751338e-05
0.6,199,81.7334,2868.039491,6.15167272e-05
0.6,200,82.1323,2867.726604,1.55300863e-04
0.6,201,82.5208,2867.826488,8.43391333e-05
0.6,202,82.9391,2867.953174,7.97312098e-05
0.6,203,83.3363,2867.743190,1.37610397e-04
0.6,204,83.6822,2867.772270,9.65114204e-05
0.6,205,84.1069,2867.824090,9.26019013e-05
0.6,206,84.5192,2867.772959,1.10300946e-04
0.6,207,84.9490,2867.935719,7.35297252e-05
0.6,208,85.3376,2867.716887,1.39131431e-04
0.6,209,85.7500,2867.846130,7.92917817e-05
0.6,210,86.2047,2867.928665,8.73215169e-05
0.6,211,86.5998,2867.705342,1.39903564e-04
0.6,212,86.9893,2867.854605,7.58499912e-05
0.6,213,87.4357,2867.866141,9.95274325e-05
0.6,214,87.8028,2867.757227,1.20234696e-04
0.6,215,88.2011,2867.830343,8.89408938e-05
0.6,216,88.6541,2867.898109,8.98606683e-05
0.6,217,89.0547,2867.763912,1.24581280e-04
0.6,218,89.4858,2867.848296,8.70038092e-05
0.6,219,89.8459,2867.788560,1.11780202e-04
0.6,220,90.2386,2867.790916,1.01105752e-04
0.6,221,90.6722,2867.864501,8.88602122e-05
0.6,222,91.0359,2867.777874,1.16403185e-04
0.6,223,91.4720,2867.940536,7.35465766e-05
0.6,224,91.8188,2867.758969,1.32724916e-04
0.6,225,92.2168,2867.801218,9.42475367e-05
0.6,226,92.6490,2868.317149,1.28138080e-05
0.6,227,93.0567,2867.769451,1.95668752e-04
0.6,228,93.4728,2867.802446,9.58383266e-05
0.6,229,93.9180,2868.126202,4.58518188e-05
0.6,230,94.3211,2867.700237,1.74741030e-04
0.6,231,94.7354,2867.886100,6.95578337e-05
0.6,232,95.1843,2868.183921,5.03104702e-05
0.6,233,95.5891,2867.732060,1.79192907e-04
0.6,234,96.0143,2867.755221,9.75288018e-05
0.6,235,96.4047,2867.832524,8.82210608e-05
0.6,236,96.8179,2867.792919,1.08319562e-04
0.6,237,97.2529,2867.913724,8.07423354e-05
0.6,238,97.6545,2867.720746,1.34686652e-04
0.6,239,98.0520,2867.802326,8.74858658e-05
0.6,240,98.5187,2867.929168,7.97044185e-05
0.6,241,98.9235,2867.747471,1.32747449e-04
0.6,242,99.3310,2867.814722,8.99491220e-05
0.6,243,99.7558,2867.880112,9.02691641e-05
0.6,244,100.1717,2867.757039,1.22668777e-04
0.6,245,100.6053,2868.049602,5.12144710e-05
0.6,246,101.0210,2867.715056,1.59024609e-04
0.6,247,101.4147,2867.818587,8.37119441e-05
0.6,248,101.8543,2867.861571,9.41211277e-05
0.6,249,102.2032,2867.769087,1.17410225e-04
1.0,0,0.4156,2867.692556,1.22908476e-04
1.0,1,0.8506,2868.003702,6.94160658e-05
1.0,2,1.2664,2867.547395,1.48578628e-04
1.0,3,1.7141,2867.674460,8.84040197e-05
1.0,4,2.1018,2867.961225,7.19309821e-05
1.0,5,2.5469,2868.434799,5.26616534e-05
1.0,6,2.8939,2867.385978,2.09696212e-04
1.0,7,3.2952,2868.250241,1.23623394e-05
1.0,8,3.6792,2868.278986,9.85456140e-05
1.0,9,4.0785,2867.367978,1.95480884e-04
